,Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate
5509,M. Thiede,Marco Thiede,69,69,1200000,"RB,RW",RB,Germany,https://cdn.sofifa.net/players/205/463/23_60.png,30,178,75,1799,380,Karlsruher SC,7000,1900000,RB,2024,21,2017,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
5510,J. Colback,Jack Colback,69,69,925000,"CDM,LWB,CM",CDM,England,https://cdn.sofifa.net/players/193/942/23_60.png,32,177,77,1784,375,Nottingham Forest,23000,1800000,SUB,2023,8,2020,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High
5511,B. Özer,Berke Özer,69,80,2700000,GK,GK,Turkey,https://cdn.sofifa.net/players/239/254/23_60.png,22,190,73,1060,367,Portimonense SC,3000,6200000,GK,2026,1,2022,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/tr.png,-,-,Medium,Medium
5512,D. Louiserre,Dylan Louiserre,69,71,1500000,"CDM,CM",CAM,France,https://cdn.sofifa.net/players/225/174/23_60.png,27,172,63,1930,399,En Avant de Guingamp,4000,2700000,CDM,2025,4,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
5513,A. Mawson,Alfie Mawson,69,70,1300000,CB,CB,England,https://cdn.sofifa.net/players/208/534/23_60.png,28,189,90,1516,335,Wycombe Wanderers,5000,2400000,CB,2023,20,2022,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High
5514,M. Pellegrini,Matías Pellegrini,69,79,3100000,"LM,RM",LM,Argentina,https://cdn.sofifa.net/players/244/884/23_60.png,22,176,71,1760,382,New York City FC,4000,5300000,RES,2023,11,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,High
5515,J. Allen,Jamie Allen,69,70,1600000,"CM,CAM,RW",RWB,England,https://cdn.sofifa.net/players/213/147/23_60.png,27,170,66,1911,408,Coventry City,11000,3200000,CM,2024,8,2019,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High
5516,N. Dovedan,Nikola Dovedan,69,69,1500000,"CF,CAM,RM",RW,Austria,https://cdn.sofifa.net/players/235/419/23_60.png,27,172,72,1809,374,FK Austria Wien,11000,2200000,SUB,2023,10,2022,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium
5517,V. Kristiansen,Victor Kristiansen,69,80,2900000,LB,LWB,Denmark,https://cdn.sofifa.net/players/259/762/23_60.png,19,183,77,1805,391,F.C. København,5000,4400000,LB,2025,34,2020,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/dk.png,-,-,High,Medium
5518,Yuri Ribeiro,Yuri Oliveira Ribeiro,69,72,1700000,"LB,LM",LB,Portugal,https://cdn.sofifa.net/players/237/211/23_60.png,25,180,77,1860,393,Legia Warszawa,5000,2400000,SUB,2024,5,2021,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,Medium
5519,I. Lihadji,Isaac Lihadji,69,79,3100000,RM,CAM,France,https://cdn.sofifa.net/players/252/594/23_60.png,20,177,70,1591,344,LOSC Lille,11000,6500000,SUB,2023,19,2020,-,Left,3,4,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
5520,M. Pazdan,Michał Pazdan,69,69,450000,CB,CB,Poland,https://cdn.sofifa.net/players/185/010/23_60.png,34,181,78,1677,343,Jagiellonia Białystok,5000,608000,CB,2023,2,2021,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,High
5521,L. Mousset,Lys Mousset,69,72,1800000,ST,ST,France,https://cdn.sofifa.net/players/221/618/23_60.png,26,184,80,1685,363,VfL Bochum 1848,12000,3400000,SUB,2024,39,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
5522,A. Correa,Andrés Correa,69,69,1300000,"LB,LM",LB,Colombia,https://cdn.sofifa.net/players/214/194/23_60.png,28,176,76,1760,379,La Equidad,1000,1800000,LB,2022,3,2017,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/co.png,-,-,High,Medium
5523,S. Bossut,Sammy Bossut,69,69,150000,GK,GK,Belgium,https://cdn.sofifa.net/players/142/258/23_60.png,36,187,80,1168,385,SV Zulte Waregem,4000,218000,GK,2023,1,2006,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,Medium
5524,G. Frabotta,Gianluca Frabotta,69,77,3000000,"LB,LWB",LWB,Italy,https://cdn.sofifa.net/players/257/713/23_60.png,23,187,70,1764,381,Frosinone,29000,0,SUB,2023,99,2022,YES,Left,3,2,1,-,https://cdn.sofifa.net/flags/it.png,-,-,High,Medium
5525,J. Föhrenbach,Jonas Föhrenbach,69,71,1600000,LB,LB,Germany,https://cdn.sofifa.net/players/229/277/23_60.png,26,184,81,1678,372,1. FC Heidenheim 1846,11000,2600000,LB,2023,19,2019,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
5526,A. Teuten,Andrew Teuten,69,72,1800000,"LB,LWB",LM,Uruguay,https://cdn.sofifa.net/players/261/532/23_60.png,23,173,72,1820,390,Club Atlético Colón,5000,2800000,LB,2024,28,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/uy.png,-,-,High,Medium
5527,Rúben Lima,Rúben Alexandre Rocha Lima,69,69,975000,"LB,LWB,CB",LB,Portugal,https://cdn.sofifa.net/players/192/156/23_60.png,32,177,69,1876,393,Futebol Clube de Famalicão,5000,2000000,LB,2024,5,2021,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,Medium
5528,F. Kastenmeier,Florian Kastenmeier,69,73,1500000,GK,GK,Germany,https://cdn.sofifa.net/players/251/292/23_60.png,25,192,85,975,363,Fortuna Düsseldorf,8000,2500000,GK,2024,33,2019,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
5529,L. Mabiala,Larrys Mabiala,69,69,450000,CB,CB,Congo DR,https://cdn.sofifa.net/players/181/404/23_60.png,34,189,84,1568,338,Portland Timbers,4000,675000,SUB,2022,33,2017,-,Right,3,2,1,-,-,-,-,Low,Medium
5530,V. Hedenstad,Vegar Eggen Hedenstad,69,69,1000000,RB,RB,Norway,https://cdn.sofifa.net/players/186/267/23_60.png,31,178,74,1846,391,Vålerenga Fotball,3000,1300000,RB,2024,6,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/no.png,-,-,High,Medium
5531,O. Kanté,Ousmane Kanté,69,69,900000,CB,CB,Guinea,https://cdn.sofifa.net/players/243/867/23_60.png,32,182,81,1553,326,Paris FC,5000,1600000,SUB,2023,19,2018,-,Right,3,2,1,-,-,-,-,High,High
5532,J. Sargent,Josh Sargent,69,74,2100000,"RM,ST",ST,United States,https://cdn.sofifa.net/players/242/075/23_60.png,22,185,79,1873,402,Norwich City,17000,4099999,RM,2025,24,2021,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/us.png,-,-,High,High
5533,V. Vorel,Vojtěch Vorel,69,74,1600000,GK,GK,Czech Republic,https://cdn.sofifa.net/players/240/283/23_60.png,26,190,74,934,383,AC Sparta Praha,500,3600000,SUB,2024,24,2014,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/cz.png,-,-,Medium,Medium
5534,J. Madrid,Johan Madrid,69,72,1700000,RB,RB,Peru,https://cdn.sofifa.net/players/246/202/23_60.png,25,179,74,1705,374,Club Sporting Cristal,500,3800000,RB,2023,2,2016,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/pe.png,-,-,Medium,Medium
5535,M. de Wit,Mees de Wit,69,75,2100000,"LB,LW",LM,Netherlands,https://cdn.sofifa.net/players/263/099/23_60.png,24,181,76,1798,391,AZ Alkmaar,4000,3600000,SUB,2027,34,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,High,Medium
5536,J. Verlaat,Jesper Verlaat,69,73,1700000,CB,CB,Netherlands,https://cdn.sofifa.net/players/238/779/23_60.png,26,192,87,1451,326,TSV 1860 München,2000,2600000,CB,2024,4,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium
5537,Pedro Miguel,Pedro Miguel C. Deus Correia,69,69,0,"RWB,CB",RWB,Qatar,https://cdn.sofifa.net/players/268/781/23_60.png,31,182,76,1685,375,Free agent,0,0,-,-,-,2022,-,Right,3,2,1,Qatar,https://cdn.sofifa.net/flags/qa.png,RWB,2,Medium,Medium
5538,M. Enoumba,Marc-Francois Enoumba,69,69,1200000,"CB,RB",CB,Bolivia,https://cdn.sofifa.net/players/254/443/23_60.png,29,183,81,1849,400,Club Always Ready,500,2600000,CB,2024,4,2017,-,Right,2,2,1,-,-,-,-,Medium,High
5539,E. Mosquera,Edwin Mosquera,69,81,3400000,LM,RM,Colombia,https://cdn.sofifa.net/players/248/555/23_60.png,21,172,58,1573,347,Atlanta United,3000,5800000,RES,2026,21,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/co.png,-,-,High,Medium
5540,M. Al Owais,Mohammed Al Owais,69,69,925000,GK,GK,Saudi Arabia,https://cdn.sofifa.net/players/210/923/23_60.png,30,185,75,1165,377,Al Hilal,13000,1600000,SUB,2025,21,2022,-,Left,2,1,1,-,https://cdn.sofifa.net/flags/sa.png,-,-,Medium,Medium
5541,O. Rashid,Osama Rashid,69,69,1300000,CM,CM,Iraq,https://cdn.sofifa.net/players/200/683/23_60.png,30,178,70,1903,395,FC Vizela,3000,2700000,SUB,2023,23,2022,-,Right,3,3,1,-,-,-,-,Medium,Medium
5542,Emidio Hoffman,Emidio Dener Hoffman Vaz,69,69,1300000,"CB,RB",CB,Brazil,https://cdn.sofifa.net/players/230/378/23_60.png,26,188,79,1716,356,RB Bragantino,8000,2500000,SUB,2025,22,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium
5543,T. Casasola,Tiago Casasola,69,70,1500000,"RWB,RM,RB",CB,Argentina,https://cdn.sofifa.net/players/212/714/23_60.png,26,189,80,1786,389,Perugia,2000,2400000,RWB,2023,24,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,High
5544,A. Costa,Ayrton Costa,69,72,1700000,"CB,LB",CB,Argentina,https://cdn.sofifa.net/players/261/097/23_60.png,22,179,74,1652,359,Platense,6000,0,LWB,2023,79,2020,YES,Left,3,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Medium
5545,O. Djoco,Ouparine Djoco,69,72,1500000,GK,GK,France,https://cdn.sofifa.net/players/251/369/23_60.png,24,188,90,989,370,Clermont Foot 63,6000,3100000,SUB,2025,40,2019,-,Left,2,1,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
5546,S. Al Najai,Sami Al Najai,69,72,1800000,"CAM,RM",CAM,Saudi Arabia,https://cdn.sofifa.net/players/233/961/23_60.png,25,176,68,1803,392,Al Nassr,16000,3200000,SUB,2024,14,2016,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/sa.png,-,-,Medium,Medium
5547,J. Sørensen,Jacob Sørensen,69,73,1800000,"CDM,CM,LB",CDM,Denmark,https://cdn.sofifa.net/players/233/705/23_60.png,24,184,77,1847,389,Norwich City,15000,3600000,CDM,2024,19,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/dk.png,-,-,Medium,High
5548,J. Lopy,Joseph Lopy,69,69,1200000,"CDM,CB",CDM,Senegal,https://cdn.sofifa.net/players/206/313/23_60.png,30,181,68,1884,404,FC Sochaux-Montbéliard,4000,2100000,SUB,2023,8,2020,-,Right,3,2,1,-,-,-,-,High,Medium
5549,M. Sørensen,Mads Bech Sørensen,69,78,2900000,"CB,LB",CB,Denmark,https://cdn.sofifa.net/players/234/472/23_60.png,23,193,92,1543,340,OGC Nice,16000,0,RES,2023,5,2017,YES,Left,3,2,1,-,https://cdn.sofifa.net/flags/dk.png,-,-,Low,Medium
5550,Bruno Fagundeiro,Bruno Luiz Fagundeiro Cardenas,69,69,1600000,"CAM,CM",CAM,Brazil,https://cdn.sofifa.net/players/230/376/23_60.png,22,169,69,1848,386,Cuiabá,7000,3000000,SUB,2025,22,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium
5551,T. Breithaupt,Tim Breithaupt,69,77,2900000,CDM,CDM,Germany,https://cdn.sofifa.net/players/259/559/23_60.png,20,192,78,1553,346,Karlsruher SC,5000,5200000,CDM,2024,38,2020,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Low,Medium
5552,M. Fall,Mourtada Fall,69,69,450000,CB,CB,Senegal,https://cdn.sofifa.net/players/248/295/23_60.png,34,192,87,1553,339,Mumbai City FC,2000,608000,CB,2023,25,2020,-,Right,4,2,1,-,-,-,-,Medium,High
5553,M. Marić,Mirko Marić,69,70,1600000,ST,ST,Croatia,https://cdn.sofifa.net/players/258/027/23_60.png,27,188,77,1610,357,AC Monza,22000,2800000,RES,2025,24,2020,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/hr.png,-,-,Medium,Medium
5554,Z. Clark,Zander Clark,69,69,925000,GK,GK,Scotland,https://cdn.sofifa.net/players/204/269/23_60.png,30,193,80,1149,381,Heart of Midlothian,3000,1700000,SUB,2025,28,2022,-,Right,2,1,1,Scotland,https://cdn.sofifa.net/flags/gb-sct.png,SUB,12,Medium,Medium
5555,M. Daramy,Mohamed Daramy,69,81,3400000,"LM,RM",RM,Denmark,https://cdn.sofifa.net/players/246/459/23_60.png,20,180,71,1689,374,F.C. København,6000,0,LM,2023,15,2021,YES,Right,3,4,1,-,https://cdn.sofifa.net/flags/dk.png,-,-,Medium,Medium
5556,Y. Sarı,Yusuf Sarı,69,72,1900000,"RW,RM",LM,Turkey,https://cdn.sofifa.net/players/241/389/23_60.png,23,168,55,1708,356,Adana Demirspor,10000,3900000,SUB,2025,26,2022,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/tr.png,-,-,High,Low
5557,Césario Limberg,Césario Marco Pesso Limberg,69,69,1300000,CB,CB,Brazil,https://cdn.sofifa.net/players/230/386/23_60.png,26,191,87,1652,354,São Paulo,15000,2500000,SUB,2025,3,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium
5558,G. Abrego,Gonzalo Abrego,69,77,3100000,"CM,CDM",CM,Argentina,https://cdn.sofifa.net/players/260/593/23_60.png,22,184,75,1822,391,Godoy Cruz,5000,5300000,CM,2023,32,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Medium
5559,R. Grant,Rhyan Grant,69,69,1000000,RB,RB,Australia,https://cdn.sofifa.net/players/192/241/23_60.png,31,174,74,1888,402,Sydney FC,5000,1300000,RB,2024,23,2009,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/au.png,-,-,High,Medium
5560,C. Petrila,Claudiu Petrila,69,79,3100000,"LW,RW",RM,Romania,https://cdn.sofifa.net/players/248/049/23_60.png,21,176,67,1715,376,CFR Cluj,7000,5000000,LW,2023,11,2018,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium
5561,A. Bernier,Antoine Bernier,69,72,1900000,"RM,CF,LM",CAM,Belgium,https://cdn.sofifa.net/players/243/953/23_60.png,24,170,68,1774,378,Seraing,7000,2900000,ST,2023,12,2020,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/be.png,-,-,High,Medium
5562,V. Sierro,Vincent Sierro,69,72,1800000,CM,CM,Switzerland,https://cdn.sofifa.net/players/228/593/23_60.png,26,187,79,1806,388,BSC Young Boys,11000,2800000,SUB,2023,8,2019,-,Right,2,3,1,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,Medium
5563,S. Rhein,Simon Rhein,69,72,1700000,"CDM,CM",CDM,Germany,https://cdn.sofifa.net/players/246/256/23_60.png,24,180,74,1791,379,F.C. Hansa Rostock,6000,2800000,CM,2024,8,2021,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
5564,L. Sernicola,Leonardo Sernicola,69,74,1900000,"RB,LB",RB,Italy,https://cdn.sofifa.net/players/233/968/23_60.png,25,187,81,1685,355,US Cremonese,6000,3600000,SUB,2025,17,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Low,High
5565,Vitor Carvalho,Vitor Carvalho Vieira,69,74,1900000,"CDM,CM",CDM,Brazil,https://cdn.sofifa.net/players/255/471/23_60.png,25,183,73,1795,386,Gil Vicente FC,5000,4099999,CM,2024,21,2020,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium
5566,L. Pétrot,Léo Pétrot,69,73,1700000,"CB,LB",CB,France,https://cdn.sofifa.net/players/248/559/23_60.png,25,188,81,1552,337,AS Saint-Étienne,4000,3200000,CB,2025,19,2022,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
5567,J. Collins,Jamilu Collins,69,69,1300000,LB,LB,Nigeria,https://cdn.sofifa.net/players/241/135/23_60.png,27,183,73,1709,376,Cardiff City,15000,2400000,LB,2024,17,2022,-,Left,3,3,1,-,-,-,-,High,Medium
5568,L. Lamprou,Lazaros Lamprou,69,74,2100000,"LM,RM",ST,Greece,https://cdn.sofifa.net/players/237/039/23_60.png,24,180,76,1737,378,Excelsior,4000,3200000,SUB,2024,22,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gr.png,-,-,Medium,Medium
5569,M. Bradley,Michael Bradley,69,69,475000,"CDM,CM,CB",CDM,United States,https://cdn.sofifa.net/players/155/887/23_60.png,34,185,87,1786,368,Toronto FC,4000,713000,CDM,2022,4,2014,-,Right,3,2,2,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium
5570,A. Preciado,Adonis Preciado,69,72,1800000,"RM,LM",RM,Ecuador,https://cdn.sofifa.net/players/258/286/23_60.png,25,175,72,1580,348,Barcelona Sporting Club,600,4099999,RM,2023,18,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ec.png,-,-,Medium,Medium
5571,Kim Young Kwang,Young Kwang Kim,69,69,150000,GK,GK,Korea Republic,https://cdn.sofifa.net/players/136/686/23_60.png,39,183,87,1198,399,Seongnam FC,1000,188000,GK,2022,41,2020,-,Right,3,1,2,-,-,-,-,Medium,Medium
5572,A. Wilkinson,Alex Wilkinson,69,69,250000,CB,CB,Australia,https://cdn.sofifa.net/players/181/479/23_60.png,37,187,85,1600,325,Sydney FC,3000,313000,CB,2023,4,2016,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,High
5573,A. Connolly,Aaron Connolly,69,75,2300000,ST,ST,Republic of Ireland,https://cdn.sofifa.net/players/237/286/23_60.png,22,175,73,1642,349,Venezia FC,25000,0,SUB,2023,9,2017,YES,Right,3,2,1,-,-,-,-,Medium,Low
5574,E. Remedi,Eric Remedi,69,72,1600000,"CDM,CM",CB,Argentina,https://cdn.sofifa.net/players/228/838/23_60.png,27,169,77,1734,365,San Jose Earthquakes,4000,2500000,CDM,2023,5,2021,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,High
5575,C. O'Dowda,Callum O'Dowda,69,69,1500000,"LW,RW",LW,Republic of Ireland,https://cdn.sofifa.net/players/212/454/23_60.png,27,180,75,1832,391,Cardiff City,17000,2800000,LW,2025,11,2022,-,Left,3,3,1,-,-,-,-,High,Medium
5576,J. Green,Julian Green,69,70,1600000,"CAM,CM",CAM,United States,https://cdn.sofifa.net/players/212/192/23_60.png,27,173,70,1771,368,SpVgg Greuther Fürth,6000,2700000,CM,2024,37,2018,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Low
5577,M. Aguirregaray,Matías Aguirregaray,69,69,725000,RB,RB,Uruguay,https://cdn.sofifa.net/players/199/392/23_60.png,33,177,78,1891,394,Club Atlético Peñarol,500,1600000,RB,2023,13,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/uy.png,-,-,High,Low
5578,R. Onyedika,Raphael Onyedika,69,80,3000000,"CDM,CM",CDM,Nigeria,https://cdn.sofifa.net/players/262/880/23_60.png,21,184,78,1804,397,Club Brugge KV,8000,4800000,RES,2027,15,2022,-,Right,3,2,1,-,-,-,-,Medium,High
5579,I. Poveda,Ian Poveda,69,77,3100000,"RW,RM,CAM",LM,England,https://cdn.sofifa.net/players/243/390/23_60.png,22,167,64,1573,354,Blackpool,17000,0,RM,2023,26,2020,YES,Left,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium
5580,J. Hugill,Jordan Hugill,69,69,1400000,ST,ST,England,https://cdn.sofifa.net/players/220/862/23_60.png,30,183,85,1758,373,Norwich City,21000,2700000,SUB,2023,9,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High
5581,S. Fortes,Steven Fortes,69,69,1100000,CB,CB,Cape Verde Islands,https://cdn.sofifa.net/players/219/582/23_60.png,30,192,85,1510,329,Racing Club de Lens,13000,2100000,SUB,2027,15,2019,-,Right,2,2,1,-,-,-,-,Low,Medium
5582,K. Gorré,Kenji Gorré,69,69,1500000,LW,LW,Curacao,https://cdn.sofifa.net/players/213/694/23_60.png,27,178,73,1724,375,Boavista FC,8000,3200000,LW,2023,7,2021,-,Right,2,3,1,-,-,-,-,Medium,Medium
5583,C. Noone,Craig Noone,69,69,650000,"RM,LM,RWB",RM,England,https://cdn.sofifa.net/players/189/885/23_60.png,34,177,69,1875,392,Macarthur FC,3000,813000,RWB,2023,17,2021,-,Left,4,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium
5584,E. Segura,Eddie Segura,69,75,1900000,CB,CB,Colombia,https://cdn.sofifa.net/players/237/245/23_60.png,25,178,70,1533,339,Los Angeles FC,4000,3200000,SUB,2022,4,2018,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/co.png,-,-,Low,High
5585,Raúl Lizoain,Raúl Lizoain Cruz,69,69,750000,GK,GK,Spain,https://cdn.sofifa.net/players/199/101/23_60.png,31,188,80,1164,385,FC Andorra,3000,1200000,SUB,2023,13,2022,-,Left,2,1,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
5586,D. Ndoye,Dan Ndoye,69,77,3100000,"RM,ST",RM,Switzerland,https://cdn.sofifa.net/players/257/980/23_60.png,21,184,79,1733,372,FC Basel 1893,7000,5300000,RM,2026,27,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,High
5587,J. Fejzić,Jasmin Fejzić,69,69,150000,GK,GK,Bosnia and Herzegovina,https://cdn.sofifa.net/players/169/404/23_60.png,36,198,95,978,352,Eintracht Braunschweig,4000,233000,GK,2023,16,2019,-,Right,2,1,1,-,-,-,-,Medium,Medium
5588,R. Renner,Rene Renner,69,69,1300000,"LB,LM",LB,Austria,https://cdn.sofifa.net/players/223/676/23_60.png,28,182,69,1888,401,LASK Linz,12000,2000000,LB,2024,7,2019,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium
5589,D. Holmes,Duane Holmes,69,69,1500000,"RW,CM,LW",RM,United States,https://cdn.sofifa.net/players/213/948/23_60.png,27,168,65,1904,401,Huddersfield Town,11000,2800000,SUB,2024,19,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,High
5590,Léo Andrade,Leandro Andrade Silva,69,75,2000000,CB,CB,Brazil,https://cdn.sofifa.net/players/259/771/23_60.png,24,190,82,1554,336,Clube Sport Marítimo,4000,4600000,SUB,2025,66,2020,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium
5591,J. Cristaldo,Jonatan Cristaldo,69,69,900000,"ST,LM,LW",ST,Argentina,https://cdn.sofifa.net/players/220/128/23_60.png,33,174,73,1769,372,Independiente Petrolero,600,1900000,ST,2022,33,2022,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Medium
5592,W. Cartagena,Wilder Cartagena,69,70,1400000,"CDM,CM",CB,Peru,https://cdn.sofifa.net/players/221/664/23_60.png,27,180,77,1847,397,Orlando City Soccer Club,4000,2200000,CDM,2023,16,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/pe.png,-,-,Medium,Medium
5593,L. Itter,Luca Itter,69,75,2100000,"LB,CB",LB,Germany,https://cdn.sofifa.net/players/237/024/23_60.png,23,183,76,1740,373,SpVgg Greuther Fürth,5000,3800000,SUB,2025,27,2022,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium
5594,D. Jensen,David Jensen,69,69,925000,GK,GK,Denmark,https://cdn.sofifa.net/players/190/947/23_60.png,30,195,92,1163,379,İstanbulspor,6000,1800000,GK,2024,1,2022,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/dk.png,-,-,Medium,Medium
5595,Jhonatan,Jhonatan Luiz Siqueira,69,69,750000,GK,GK,Brazil,https://cdn.sofifa.net/players/230/117/23_60.png,31,189,82,1107,379,Rio Ave FC,4000,1600000,GK,2024,18,2021,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium
5596,M. Fossati,Marco Fossati,69,69,1400000,"CM,CDM",CM,Italy,https://cdn.sofifa.net/players/210/917/23_60.png,29,180,73,1894,394,Hajduk Split,550,3100000,CM,2023,6,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,High
5597,M. Modolo,Marco Modolo,69,69,675000,CB,CB,Italy,https://cdn.sofifa.net/players/209/637/23_60.png,33,186,82,1584,348,Venezia FC,2000,1100000,SUB,2023,13,2015,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,High
5598,Joel Pereira,Joel Vieira Pereira,69,71,1600000,RB,RWB,Portugal,https://cdn.sofifa.net/players/258/276/23_60.png,25,178,73,1747,373,Lech Poznań,5000,2400000,RB,2025,2,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,Medium
5599,A. Asad,Ali Asad,69,69,0,"CAM,RW,LW",LW,Qatar,https://cdn.sofifa.net/players/270/564/23_60.png,29,175,61,1696,356,Free agent,0,0,-,-,-,2022,-,Left,5,4,1,Qatar,https://cdn.sofifa.net/flags/qa.png,SUB,8,Medium,Medium
5600,M. Hoyos,Michael Hoyos,69,69,1300000,"RM,CF,ST",RM,Argentina,https://cdn.sofifa.net/players/198/628/23_60.png,30,181,76,1834,388,LDU Quito,550,2800000,ST,2024,11,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Medium
5601,Y. Niakaté,Youssoufou Niakaté,69,69,1400000,ST,ST,France,https://cdn.sofifa.net/players/232/163/23_60.png,29,177,81,1740,375,Ettifaq FC,15000,2300000,SUB,2023,77,2022,-,Left,4,3,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium
